ValidationID,FranchiseeID,StoreID,PeriodID,RuleID,ErrorMessage,Severity
170,2546,-90000979,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
171,2546,-90000978,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
172,2546,-90000978,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
173,2546,-90000978,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
174,2529,-90000977,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
175,2529,-90000977,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
176,2529,-90000977,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
177,2582,-90000976,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
178,2582,-90000976,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
179,2582,-90000976,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
180,2198,-90000968,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
181,2198,-90000968,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
182,2255,-90000962,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
183,2255,-90000962,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
184,2255,-90000962,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
185,2533,-90000961,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
186,2533,-90000961,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
187,2004,-90000949,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
188,2004,-90000949,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
189,2004,-90000949,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
190,2025,-90000946,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
191,2025,-90000946,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
192,2080,-90000945,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
193,2080,-90000945,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
194,2080,-90000944,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
195,2080,-90000944,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
196,2025,-90000942,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
197,2025,-90000942,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
198,2025,-90000941,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
